epoch,step,test_MAE,test_loss,train_MAE_epoch,train_MAE_step,train_loss,valid_MAE,valid_loss
0,4,,,,544.8490600585938,,,
0,9,,,,161.5576934814453,,,
0,14,,,,98.86943054199219,,,
0,19,,,,80.50688171386719,,,
0,24,,,,47.018218994140625,,,
0,29,,,,62.280155181884766,,,
0,34,,,,39.08943557739258,,,
0,39,,,,25.724634170532227,,,
0,44,,,,16.946815490722656,,,
0,49,,,,14.938740730285645,,,
0,54,,,,11.495152473449707,,,
0,59,,,,10.035468101501465,,,
0,64,,,,7.640585422515869,,,
0,69,,,,4.9512529373168945,,,
0,74,,,,3.3935868740081787,,,
0,79,,,,2.423652172088623,,,
0,84,,,,1.5853819847106934,,,
0,89,,,,1.4337563514709473,,,
0,94,,,,0.9950850605964661,,,
0,99,,,,0.5252425074577332,,,
0,104,,,,0.4008523225784302,,,
0,109,,,,0.34504109621047974,,,
0,114,,,,0.18964384496212006,,,
0,119,,,,0.24422942101955414,,,
0,124,,,,0.1264951527118683,,,
0,129,,,,0.12667715549468994,,,
0,134,,,,0.14814655482769012,,,
0,139,,,,0.07270243763923645,,,
0,144,,,,0.162550151348114,,,
0,149,,,,0.08113580197095871,,,
0,154,,,,0.05167502909898758,,,
0,159,,,,0.10013817995786667,,,
0,164,,,,0.167489156126976,,,
0,169,,,,0.16885153949260712,,,
0,174,,,,0.13625237345695496,,,
0,179,,,,0.0552978441119194,,,
0,184,,,,0.051050130277872086,,,
0,189,,,,0.13612765073776245,,,
0,194,,,,0.11003907769918442,,,
0,199,,,,0.2796826958656311,,,
0,204,,,,0.1644851714372635,,,
0,209,,,,1.7768363952636719,,,
0,214,,,,3.1404402256011963,,,
0,219,,,,11.916322708129883,,,
0,224,,,,39.90134811401367,,,
0,229,,,,378.19696044921875,,,
0,234,,,,170.59934997558594,,,
0,239,,,,12.834798812866211,,,
0,244,,,,7.677529335021973,,,
0,249,,,,3.8662784099578857,,,
0,249,,,,,,1.4872570037841797,3.275402784347534
0,249,,,60.98542022705078,,132745.890625,,
1,254,,,,2.0168988704681396,,,
1,259,,,,1.5376477241516113,,,
1,264,,,,1.208547830581665,,,
1,269,,,,0.857182502746582,,,
1,274,,,,0.5779231190681458,,,
1,279,,,,0.8988632559776306,,,
1,284,,,,0.8041219711303711,,,
1,289,,,,0.8242902755737305,,,
1,294,,,,0.8346142768859863,,,
1,299,,,,0.6844222545623779,,,
1,304,,,,0.8121967911720276,,,
1,309,,,,0.7554991245269775,,,
1,314,,,,0.8467996120452881,,,
1,319,,,,0.7649674415588379,,,
1,324,,,,0.5943256616592407,,,
