epoch,step,test_MAE,test_loss,train_MAE_epoch,train_MAE_step,train_loss,valid_MAE,valid_loss
0,4,,,,0.038525860756635666,,,
0,9,,,,0.09542831033468246,,,
0,14,,,,0.146713986992836,,,
0,19,,,,0.08155326545238495,,,
0,24,,,,0.07607078552246094,,,
0,29,,,,0.08614876866340637,,,
0,34,,,,0.05620211735367775,,,
0,39,,,,0.05000048875808716,,,
0,44,,,,0.03135570511221886,,,
0,49,,,,0.04242316260933876,,,
0,54,,,,0.035493019968271255,,,
0,59,,,,0.05521228536963463,,,
0,64,,,,0.05384724587202072,,,
0,69,,,,0.10957132279872894,,,
0,74,,,,0.06912810355424881,,,
0,79,,,,0.09330620616674423,,,
0,84,,,,0.07504189014434814,,,
0,89,,,,0.12483856081962585,,,
0,94,,,,0.05584920942783356,,,
0,99,,,,0.10562147945165634,,,
0,104,,,,0.06148815527558327,,,
0,109,,,,0.1231561154127121,,,
0,114,,,,0.06489451229572296,,,
0,119,,,,0.042920082807540894,,,
0,124,,,,0.04778986796736717,,,
0,129,,,,0.03771794214844704,,,
0,134,,,,0.022342577576637268,,,
0,139,,,,0.003573636058717966,,,
0,144,,,,0.06680785119533539,,,
0,149,,,,0.05665990710258484,,,
0,154,,,,0.13845360279083252,,,
0,159,,,,0.03682620823383331,,,
0,164,,,,0.047539226710796356,,,
0,169,,,,0.040361739695072174,,,
0,174,,,,0.07976335287094116,,,
0,179,,,,0.09670017659664154,,,
0,184,,,,0.06542827188968658,,,
0,189,,,,0.15577556192874908,,,
0,194,,,,0.10264253616333008,,,
0,199,,,,0.06947661936283112,,,
0,204,,,,0.07972527295351028,,,
0,209,,,,0.06440817564725876,,,
0,214,,,,0.021059783175587654,,,
0,219,,,,0.03377131000161171,,,
0,224,,,,0.0813327431678772,,,
0,229,,,,0.02867605909705162,,,
0,234,,,,0.02406333014369011,,,
0,239,,,,0.020134083926677704,,,
0,244,,,,0.026008738204836845,,,
0,249,,,,0.14130297303199768,,,
0,249,,,,,,0.07861706614494324,0.029144885018467903
0,249,,,0.06636060029268265,,0.03333764150738716,,
1,254,,,,0.0709667056798935,,,
1,259,,,,0.08380655944347382,,,
1,264,,,,0.07330083847045898,,,
1,269,,,,0.06884130090475082,,,
1,274,,,,0.05769696086645126,,,
1,279,,,,0.014611274003982544,,,
1,284,,,,0.05295952782034874,,,
1,289,,,,0.038675371557474136,,,
1,294,,,,0.05924530699849129,,,
1,299,,,,0.07681290805339813,,,
1,304,,,,0.06625640392303467,,,
1,309,,,,0.02575390413403511,,,
1,314,,,,0.03663955256342888,,,
1,319,,,,0.06698431074619293,,,
1,324,,,,0.09064045548439026,,,
1,329,,,,0.07666798681020737,,,
1,334,,,,0.13248178362846375,,,
1,339,,,,0.019323155283927917,,,
1,344,,,,0.037626948207616806,,,
1,349,,,,0.05697187781333923,,,
1,354,,,,0.0465678796172142,,,
1,359,,,,0.06368300318717957,,,
1,364,,,,0.1572033166885376,,,
1,369,,,,0.06780756264925003,,,
1,374,,,,0.06985586881637573,,,
1,379,,,,0.06345295906066895,,,
1,384,,,,0.04402107000350952,,,
1,389,,,,0.04901301488280296,,,
1,394,,,,0.031795233488082886,,,
1,399,,,,0.043012652546167374,,,
1,404,,,,0.09566816687583923,,,
1,409,,,,0.03402390703558922,,,
1,414,,,,0.04675021022558212,,,
1,419,,,,0.06832224130630493,,,
1,424,,,,0.07361272722482681,,,
1,429,,,,0.07122667133808136,,,
1,434,,,,0.02720203623175621,,,
1,439,,,,0.07878173142671585,,,
1,444,,,,0.06125162914395332,,,
1,449,,,,0.1044028177857399,,,
1,454,,,,0.017718924209475517,,,
1,459,,,,0.0782482922077179,,,
1,464,,,,0.0663691982626915,,,
1,469,,,,0.06442825496196747,,,
1,474,,,,0.08932504057884216,,,
1,479,,,,0.054795052856206894,,,
1,484,,,,0.04733523726463318,,,
1,489,,,,0.11063413321971893,,,
1,494,,,,0.02894611470401287,,,
1,499,,,,0.08930005133152008,,,
